web-scraper-order,web-scraper-start-url,Universities
"1589579826-885","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of IowaUniversity"
"1589579826-862","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of South Carolina-ColumbiaUniversity"
"1589579826-860","https://datausa.io/search?q=&dimension=University&hierarchy=University","Lone Star College SystemUniversity"
"1589579826-880","https://datausa.io/search?q=&dimension=University&hierarchy=University","Texas State UniversityUniversity"
"1589579826-891","https://datausa.io/search?q=&dimension=University&hierarchy=University","Virginia Commonwealth UniversityUniversity"
"1589579826-825","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Illinois at Urbana-ChampaignUniversity"
"1589579826-896","https://datausa.io/search?q=&dimension=University&hierarchy=University","Florida Atlantic UniversityUniversity"
"1589579826-857","https://datausa.io/search?q=&dimension=University&hierarchy=University","George Washington UniversityUniversity"
"1589579826-900","https://datausa.io/search?q=&dimension=University&hierarchy=University","Drexel UniversityUniversity"
"1589579826-843","https://datausa.io/search?q=&dimension=University&hierarchy=University","American Public University SystemUniversity"
"1589579826-874","https://datausa.io/search?q=&dimension=University&hierarchy=University","Iowa State UniversityUniversity"
"1589579826-823","https://datausa.io/search?q=&dimension=University&hierarchy=University","Pennsylvania State University-Main CampusUniversity"
"1589579826-829","https://datausa.io/search?q=&dimension=University&hierarchy=University","Rutgers University-New BrunswickUniversity"
"1589579826-837","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Wisconsin-MadisonUniversity"
"1589579826-877","https://datausa.io/search?q=&dimension=University&hierarchy=University","Johns Hopkins UniversityUniversity"
"1589579826-873","https://datausa.io/search?q=&dimension=University&hierarchy=University","Capella UniversityUniversity"
"1589579826-844","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of GeorgiaUniversity"
"1589579826-887","https://datausa.io/search?q=&dimension=University&hierarchy=University","Northern Arizona UniversityUniversity"
"1589579826-817","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Minnesota-Twin CitiesUniversity"
"1589579826-816","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of FloridaUniversity"
"1589579826-867","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of PennsylvaniaUniversity"
"1589579826-846","https://datausa.io/search?q=&dimension=University&hierarchy=University","California State University-FullertonUniversity"
"1589579826-859","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of California-IrvineUniversity"
"1589579826-848","https://datausa.io/search?q=&dimension=University&hierarchy=University","California State University-Long BeachUniversity"
"1589579826-865","https://datausa.io/search?q=&dimension=University&hierarchy=University","George Mason UniversityUniversity"
"1589579826-868","https://datausa.io/search?q=&dimension=University&hierarchy=University","San Jose State UniversityUniversity"
"1589579826-858","https://datausa.io/search?q=&dimension=University&hierarchy=University","Kaplan University-Davenport CampusUniversity"
"1589579826-805","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Phoenix-ArizonaUniversity"
"1589579826-820","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Washington-Seattle CampusUniversity"
"1589579826-888","https://datausa.io/search?q=&dimension=University&hierarchy=University","Kent State University at KentUniversity"
"1589579826-809","https://datausa.io/search?q=&dimension=University&hierarchy=University","Liberty UniversityUniversity"
"1589579826-821","https://datausa.io/search?q=&dimension=University&hierarchy=University","Arizona State University-TempeUniversity"
"1589579826-856","https://datausa.io/search?q=&dimension=University&hierarchy=University","Ohio University-Main CampusUniversity"
"1589579826-898","https://datausa.io/search?q=&dimension=University&hierarchy=University","Indiana University-Purdue University-IndianapolisUniversity"
"1589579826-822","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of California-Los AngelesUniversity"
"1589579826-881","https://datausa.io/search?q=&dimension=University&hierarchy=University","Virginia Polytechnic Institute and State UniversityUniversity"
"1589579826-889","https://datausa.io/search?q=&dimension=University&hierarchy=University","University of Colorado BoulderUniversity"
"1589579826-833","https://datausa.io/search?q=&dimension=University&hierarchy=University","Columbia University in the City of New YorkUniversity"
